ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Product Form,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score
,simple,YPB-BRM-001,Brain Blend - Dihexa (10mg) / Tesofensine (250mcg) / BPC-157 (125mcg) x 60 Tablets,1,0,visible,Research-grade Brain Blend - Dihexa (10mg) / Tesofensine (250mcg) / BPC-157 (125mcg) x 60 Tablets in convenient tablet form for brain & mood studies.,Research-grade Brain Blend - Dihexa (10mg) / Tesofensine (250mcg) / BPC-157 (125mcg) x 60 Tablets in convenient tablet form for brain & mood studies. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,124.2,Brain & Mood,"peptides, research chemicals, brain and mood, bpc-157, 10mg, 250mg, nootropics, cognitive enhancement, neuroprotection, brain health, oral peptides, tablet form, convenient dosing",,,,,,,,,,,11,Tablet,Brain & Mood,90
,simple,YPB-BRM-002,Dihexa (10mg) x 30 Tablets,1,0,visible,Research-grade Dihexa (10mg) x 30 Tablets in convenient tablet form for brain & mood studies.,Research-grade Dihexa (10mg) x 30 Tablets in convenient tablet form for brain & mood studies. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,155.25,Brain & Mood,"peptides, research chemicals, brain and mood, 10mg, nootropics, cognitive enhancement, neuroprotection, brain health, oral peptides, tablet form, convenient dosing",,,,,,,,,,,12,Tablet,Brain & Mood,90
,simple,YPB-BRM-003,Dihexa (8mg) x 30 Tablets,1,0,visible,Research-grade Dihexa (8mg) x 30 Tablets in convenient tablet form for brain & mood studies.,Research-grade Dihexa (8mg) x 30 Tablets in convenient tablet form for brain & mood studies. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,155.25,Brain & Mood,"peptides, research chemicals, brain and mood, 8mg, nootropics, cognitive enhancement, neuroprotection, brain health, oral peptides, tablet form, convenient dosing",,,,,,,,,,,13,Tablet,Brain & Mood,90
,simple,YPB-BRM-004,DSIP (15mg),1,0,visible,Premium lyophilized DSIP (15mg) for advanced brain & mood research applications.,Premium lyophilized DSIP (15mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,175.5,Brain & Mood,"peptides, research chemicals, brain and mood, dsip, 15mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,14,Vial,Brain & Mood,90
,simple,YPB-BRM-005,DSIP (5mg),1,0,visible,Premium lyophilized DSIP (5mg) for advanced brain & mood research applications.,Premium lyophilized DSIP (5mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,135,Brain & Mood,"peptides, research chemicals, brain and mood, dsip, 5mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,15,Vial,Brain & Mood,90
,simple,YPB-BRM-006,Epithalon (10mg),1,0,visible,Premium lyophilized Epithalon (10mg) for advanced brain & mood research applications.,Premium lyophilized Epithalon (10mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,135,Brain & Mood,"peptides, research chemicals, brain and mood, 10mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,16,Vial,Brain & Mood,90
,simple,YPB-BRM-007,Epithalon (50mg),1,0,visible,Premium lyophilized Epithalon (50mg) for advanced brain & mood research applications.,Premium lyophilized Epithalon (50mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,243.0,Brain & Mood,"peptides, research chemicals, brain and mood, 50mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,17,Vial,Brain & Mood,90
,simple,YPB-BRM-008,LL37 (5mg),1,0,visible,Premium lyophilized LL37 (5mg) for advanced brain & mood research applications.,Premium lyophilized LL37 (5mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,135,Brain & Mood,"peptides, research chemicals, brain and mood, ll37, 5mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,18,Vial,Brain & Mood,90
,simple,YPB-BRM-009,Methylene Blue (25mg) x 50 Tablets,1,0,visible,Research-grade Methylene Blue (25mg) x 50 Tablets in convenient tablet form for brain & mood studies.,Research-grade Methylene Blue (25mg) x 50 Tablets in convenient tablet form for brain & mood studies. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,201.83,Brain & Mood,"peptides, research chemicals, brain and mood, 25mg, nootropics, cognitive enhancement, neuroprotection, brain health, oral peptides, tablet form, convenient dosing",,,,,,,,,,,19,Tablet,Brain & Mood,90
,simple,YPB-BRM-010,Pinealon (20mg),1,0,visible,Premium lyophilized Pinealon (20mg) for advanced brain & mood research applications.,Premium lyophilized Pinealon (20mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,175.5,Brain & Mood,"peptides, research chemicals, brain and mood, 20mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,20,Vial,Brain & Mood,90
,simple,YPB-BRM-011,Selank (10mg),1,0,visible,Premium lyophilized Selank (10mg) for advanced brain & mood research applications.,Premium lyophilized Selank (10mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,135,Brain & Mood,"peptides, research chemicals, brain and mood, 10mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,21,Vial,Brain & Mood,90
,simple,YPB-BRM-012,Selank (11mg),1,0,visible,Premium lyophilized Selank (11mg) for advanced brain & mood research applications.,Premium lyophilized Selank (11mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,135,Brain & Mood,"peptides, research chemicals, brain and mood, 11mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,22,Vial,Brain & Mood,90
,simple,YPB-BRM-013,Semax (11mg),1,0,visible,Premium lyophilized Semax (11mg) for advanced brain & mood research applications.,Premium lyophilized Semax (11mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,135,Brain & Mood,"peptides, research chemicals, brain and mood, 11mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,23,Vial,Brain & Mood,90
,simple,YPB-BRM-014,SLU-PP-332 (5mg),1,0,visible,Premium lyophilized SLU-PP-332 (5mg) for advanced brain & mood research applications.,Premium lyophilized SLU-PP-332 (5mg) for advanced brain & mood research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,135,Brain & Mood,"peptides, research chemicals, brain and mood, slu-pp-332, 5mg, nootropics, cognitive enhancement, neuroprotection, brain health, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,24,Vial,Brain & Mood,90
,simple,YPB-BRM-015,Tesofensine (250mcg) / Dihexa (5mg) x 60 Tablets,1,0,visible,Research-grade Tesofensine (250mcg) / Dihexa (5mg) x 60 Tablets in convenient tablet form for brain & mood studies.,Research-grade Tesofensine (250mcg) / Dihexa (5mg) x 60 Tablets in convenient tablet form for brain & mood studies. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,124.2,Brain & Mood,"peptides, research chemicals, brain and mood, 250mg, 5mg, nootropics, cognitive enhancement, neuroprotection, brain health, oral peptides, tablet form, convenient dosing",,,,,,,,,,,25,Tablet,Brain & Mood,90
,simple,YPB-FIT-001,ACE-031 (1mg),1,0,visible,Premium lyophilized ACE-031 (1mg) for advanced fitness & performance research applications.,Premium lyophilized ACE-031 (1mg) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,125,Fitness & Performance,"peptides, research chemicals, fitness and performance, ace-031, 1mg, muscle growth, performance enhancement, athletic research, body composition, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,26,Vial,Fitness & Performance,90
,simple,YPB-FIT-002,CJC-1295 - With DAC (5mg),1,0,visible,Premium lyophilized CJC-1295 - With DAC (5mg) for advanced fitness & performance research applications.,Premium lyophilized CJC-1295 - With DAC (5mg) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,125,Fitness & Performance,"peptides, research chemicals, fitness and performance, cjc-1295 - w, 5mg, muscle growth, performance enhancement, athletic research, body composition, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,27,Vial,Fitness & Performance,90
,simple,YPB-FIT-003,CJC-1295 Without DAC (10mg),1,0,visible,Premium lyophilized CJC-1295 Without DAC (10mg) for advanced fitness & performance research applications.,Premium lyophilized CJC-1295 Without DAC (10mg) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,125,Fitness & Performance,"peptides, research chemicals, fitness and performance, cjc-1295 w, 10mg, muscle growth, performance enhancement, athletic research, body composition, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,28,Vial,Fitness & Performance,90
,simple,YPB-FIT-004,GHRP-6 Acetate (10mg),1,0,visible,Premium lyophilized GHRP-6 Acetate (10mg) for advanced fitness & performance research applications.,Premium lyophilized GHRP-6 Acetate (10mg) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,125,Fitness & Performance,"peptides, research chemicals, fitness and performance, ghrp-6 a, 10mg, muscle growth, performance enhancement, athletic research, body composition, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,29,Vial,Fitness & Performance,90
,simple,YPB-FIT-005,GHRP-6 Acetate (5mg),1,0,visible,Premium lyophilized GHRP-6 Acetate (5mg) for advanced fitness & performance research applications.,Premium lyophilized GHRP-6 Acetate (5mg) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,125,Fitness & Performance,"peptides, research chemicals, fitness and performance, ghrp-6 a, 5mg, muscle growth, performance enhancement, athletic research, body composition, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,30,Vial,Fitness & Performance,90
,simple,YPB-FIT-006,HGH (191AA) (10iu),1,0,visible,Premium lyophilized HGH (191AA) (10iu) for advanced fitness & performance research applications.,Premium lyophilized HGH (191AA) (10iu) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,125,Fitness & Performance,"peptides, research chemicals, fitness and performance, hgh, 10mg, muscle growth, performance enhancement, athletic research, body composition, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,31,Vial,Fitness & Performance,90
,simple,YPB-FIT-007,HGH (191AA) (15iu),1,0,visible,Premium lyophilized HGH (191AA) (15iu) for advanced fitness & performance research applications.,Premium lyophilized HGH (191AA) (15iu) for advanced fitness & performance research applications. This pharmaceutical-grade compound has been specifically formulated for laboratory research purposes. Each batch undergoes rigorous quality control testing with Certificate of Analysis available upon request. Manufactured in state-of-the-art facilities following strict protocols to ensure consistency and purity. For qualified researchers and institutions only. Not for human or veterinary use.,,,taxable,,1,100,5,0,1,,,,,0,For research use only. Not for human consumption. Must be 18+ and qualified researcher to purchase.,,125,Fitness & Performance,"peptides, research chemicals, fitness and performance, hgh, 15mg, muscle growth, performance enhancement, athletic research, body composition, injectable peptides, lyophilized, reconstitution required",,,,,,,,,,,32,Vial,Fitness & Performance,90
